feature_id,taxonomy,taxonomic_level,aliases,mean_abundance_low_responders,mean_abundance_high_responders,lightgbm_importance,published_abundance_direction,direction_basis,recommended_match_confidence,source_study,pmid,doi,source_sheet,source_url,limitations
ASV_8166,Bacteroides vulgatus,species,Bacteroides vulgatus;Bacteroides_vulgatus;s__Bacteroides_vulgatus;g__Bacteroides,23517.00138475,9434.57329812,29.4447860,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_7296,Oscillospiraceae UCG-003,genus_or_higher,Oscillospiraceae UCG-003;Oscillospiraceae_UCG-003;g__Oscillospiraceae_UCG-003,241.03959492,409.68014977,29.1407576,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_1923,Holdemania,genus_or_higher,Holdemania;g__Holdemania,69.06841186,52.44322864,26.9242606,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_12607,Klebsiella,genus_or_higher,Klebsiella;g__Klebsiella,1051.33204322,1396.13820188,26.1432891,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_746,Alistipes indistinctus,species,Alistipes indistinctus;Alistipes_indistinctus;s__Alistipes_indistinctus;g__Alistipes,340.23202966,143.68306526,21.3522122,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_12343,Alistipes,genus_or_higher,Alistipes;g__Alistipes,4183.14947203,6246.80076948,35.0237381,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_9510,Flavonifractor,genus_or_higher,Flavonifractor;g__Flavonifractor,908.38915508,873.81338592,29.2060833,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_1414,Eubacterium eligens group,genus_or_higher,Eubacterium eligens group;Eubacterium_eligens_group;g__Eubacterium_eligens_group,1102.43154322,1636.15938920,28.3290196,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_8742,Blautia,genus_or_higher,Blautia;g__Blautia,29970.61266780,32697.61897230,26.3143701,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_4521,Bacteroides massiliensis,species,Bacteroides massiliensis;Bacteroides_massiliensis;s__Bacteroides_massiliensis;g__Bacteroides,2665.44807458,1437.99949718,20.5362196,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_6523,Prevotella,genus_or_higher,Prevotella;g__Prevotella,15976.44815254,21393.59050516,19.9648494,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_6444,Eubacterium coprostanoligenes group,genus_or_higher,Eubacterium coprostanoligenes group;Eubacterium_coprostanoligenes_group;g__Eubacterium_coprostanoligenes_group,419.27838814,1194.88585070,18.9117050,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_13227,Roseburia,genus_or_higher,Roseburia;g__Roseburia,3524.80412712,4129.32985070,18.1897246,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_13768,Eubacterium hallii group,genus_or_higher,Eubacterium hallii group;Eubacterium_hallii_group;g__Eubacterium_hallii_group,609.85365085,681.92126995,17.8024545,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_6008,Butyricicoccus,genus_or_higher,Butyricicoccus;g__Butyricicoccus,1291.87857458,1637.56140845,15.3970887,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_14800,Clostridium sensu stricto 1,genus_or_higher,Clostridium sensu stricto 1;Clostridium_sensu_stricto_1;g__Clostridium_sensu_stricto_1,2101.98424153,2944.90923991,15.2173325,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_5725,Lachnospiraceae UCG-001,genus_or_higher,Lachnospiraceae UCG-001;Lachnospiraceae_UCG-001;g__Lachnospiraceae_UCG-001,949.60469576,1269.37339859,27.6120211,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_5163,Eubacterium ventriosum group,genus_or_higher,Eubacterium ventriosum group;Eubacterium_ventriosum_group;g__Eubacterium_ventriosum_group,434.03352966,766.56141362,22.4683203,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_1446,Lachnospiraceae NK4A136 group,genus_or_higher,Lachnospiraceae NK4A136 group;Lachnospiraceae_NK4A136_group;g__Lachnospiraceae_NK4A136_group,2254.12224153,1590.74099953,17.7732486,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_1567,Eubacterium ruminantium group,genus_or_higher,Eubacterium ruminantium group;Eubacterium_ruminantium_group;g__Eubacterium_ruminantium_group,2545.09092034,3737.64908732,17.0381178,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_9691,Intestinibacter,genus_or_higher,Intestinibacter;g__Intestinibacter,2246.60258983,2442.84271174,16.0500895,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_1076,Ruminococcus gnavus group,genus_or_higher,Ruminococcus gnavus group;Ruminococcus_gnavus_group;g__Ruminococcus_gnavus_group,7099.44623051,5504.56990845,15.8307466,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_4680,Ruminococcaceae UBA1819,genus_or_higher,Ruminococcaceae UBA1819;Ruminococcaceae_UBA1819;g__Ruminococcaceae_UBA1819,141.79806949,200.61309577,14.5899053,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_3496,Agathobacter,genus_or_higher,Agathobacter;g__Agathobacter,925.43190000,846.95556056,13.2706513,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_11900,Coprococcus,genus_or_higher,Coprococcus;g__Coprococcus,2004.53219153,1868.27763474,17.7544072,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_608,Oscillibacter,genus_or_higher,Oscillibacter;g__Oscillibacter,1306.61486441,1258.66004272,16.2867109,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_12965,Bacteroides vulgatus,species,Bacteroides vulgatus;Bacteroides_vulgatus;s__Bacteroides_vulgatus;g__Bacteroides,7149.35118814,8929.02650986,13.8168671,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_10610,Dorea,genus_or_higher,Dorea;g__Dorea,4810.48273898,5387.42716432,13.2862318,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_12008,Collinsella,genus_or_higher,Collinsella;g__Collinsella,543.99660508,876.71451221,13.0796769,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_11965,Christensenellaceae R-7 group,genus_or_higher,Christensenellaceae R-7 group;Christensenellaceae_R-7_group;g__Christensenellaceae_R-7_group,119.16645678,140.60335352,10.7918815,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_11466,Colidextribacter,genus_or_higher,Colidextribacter;g__Colidextribacter,401.78156610,490.41763897,12.2732554,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_6065,Eubacterium xylanophilum group,genus_or_higher,Eubacterium xylanophilum group;Eubacterium_xylanophilum_group;g__Eubacterium_xylanophilum_group,651.00999576,712.45094319,11.6725072,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_8226,Clostridium perfringens,species,Clostridium perfringens;Clostridium_perfringens;s__Clostridium_perfringens;g__Clostridium,1093.68381441,704.18556714,11.5240533,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_1439,Butyricicoccus,genus_or_higher,Butyricicoccus;g__Butyricicoccus,281.32804237,346.91686714,11.3550631,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
