evidence_id,canonical_taxon,taxonomic_level,aliases,reported_direction,study,year,population,sequencing_type,metformin_adjusted,evidence_type,evidence_summary,pmid,doi,url,limitations
ev_011,Bacteroides_fragilis,species,"Bacteroides_fragilis;s__Bacteroides_fragilis",decreased:Control > T2D,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度降低。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,单队列结果
ev_012,Bacteroides_stercoris,species,"Bacteroides_stercoris;s__Bacteroides_stercoris",decreased:Control > T2D,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度降低。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,单队列；菌株特异性未评估
ev_013,Blautia,genus,"Blautia;g__Blautia",decreased:Control > T2D,"Karlsson et al.",2013,Swedish,shotgun metagenomic,no,case_control,"Blautia 在 T2D 组中丰度降低。",23719380,10.1038/nature12198,https://www.nature.com/articles/nature12198,属水平；与短链脂肪酸代谢相关
ev_014,Alistipes,genus,"Alistipes;g__Alistipes",decreased:Control > T2D,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度变化。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,不同研究结果不一致
ev_015,Eubacterium,genus,"Eubacterium;g__Eubacterium",decreased:Control > T2D,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"部分物种在 T2D 中丰度降低。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,属内异质性高
ev_016,Streptococcus,genus,"Streptococcus;g__Streptococcus",increased:T2D > Control,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度升高。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,包含多种口腔链球菌
ev_017,Dorea,genus,"Dorea;g__Dorea",increased:T2D > Control,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度升高。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,与高脂饮食可能相关
ev_018,Parabacteroides,genus,"Parabacteroides;g__Parabacteroides",decreased:Control > T2D,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度降低。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,单队列结果
ev_019,Fusobacterium,genus,"Fusobacterium;g__Fusobacterium",increased:T2D > Control,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度升高。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,可能与炎症相关
ev_020,Coprococcus,genus,"Coprococcus;g__Coprococcus",decreased:Control > T2D,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度降低。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,丁酸产生菌
ev_021,Klebsiella,genus,"Klebsiella;g__Klebsiella",increased:T2D > Control,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度升高。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,条件致病菌
ev_022,Enterococcus,genus,"Enterococcus;g__Enterococcus",increased:T2D > Control,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度升高。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,部分菌株有益
ev_023,Desulfovibrio,genus,"Desulfovibrio;g__Desulfovibrio",increased:T2D > Control,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"硫酸盐还原菌在 T2D 组中丰度升高。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,可能增加肠道通透性
ev_024,Veillonella,genus,"Veillonella;g__Veillonella",increased:T2D > Control,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度升高。",23023125,10.1038/nature11450,,与口腔菌群迁移相关
ev_025,Haemophilus,genus,"Haemophilus;g__Haemophilus",increased:T2D > Control,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"在 T2D 组中丰度升高。",23023125,10.1038/nature11450,,呼吸道菌
